timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663415381157,63,Add car - GET-1,200,OK,Load tests 3-4,text,true,,507,153,3,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,63,0,0
1663415383313,146,Instructions - GET,200,OK,Load tests 3-1,text,true,,1645,348,2,2,https://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,93,0,0
1663415383313,93,Instructions - GET-0,301,Moved Permanently,Load tests 3-1,text,true,,409,174,2,2,http://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,93,0,0
1663415383406,53,Instructions - GET-1,200,OK,Load tests 3-1,text,true,,1236,174,2,2,https://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,53,0,0
1663415383461,657,Sign in - POST,200,OK,Load tests 3-1,text,true,,837,289,2,2,https://qauto2.forstudy.space/api/auth/signin,657,0,103
1663415384419,363,Add car - GET,200,OK,Load tests 3-2,text,true,,895,306,1,1,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,187,0,0
1663415384419,187,Add car - GET-0,301,Moved Permanently,Load tests 3-2,text,true,,388,153,1,1,http://qauto2.forstudy.space/api/cars/models?carBrandId=1,187,0,0
1663415384606,176,Add car - GET-1,200,OK,Load tests 3-2,text,true,,507,153,1,1,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,176,0,0
1663874822859,1174,Guest log in - POST,401,Unauthorized,Load tests 2-3,text,true,,400,282,1,1,https://qauto2.forstudy.space/api-logs,1167,0,946
1663874824042,91,Stage of creation of API - POST,400,Bad Request,Load tests 2-3,text,true,,353,362,1,1,https://qauto2.forstudy.space/api/auth/signup,91,0,0
1663874824175,553,Sign in - POST,200,OK,Load tests 2-3,text,true,,839,289,1,1,https://qauto2.forstudy.space/api/auth/signin,553,0,0
1663874824734,642,Login with valid login details & Remember me option ON - POST,200,OK,Load tests 2-3,text,true,,668,463,1,1,https://qauto2.forstudy.space/api/auth/signin,642,0,0
1663874826048,1500,Guest log in - POST,401,Unauthorized,Load tests 2-2,text,true,,400,282,2,2,https://qauto2.forstudy.space/api-logs,1500,0,1388
1663874827549,90,Stage of creation of API - POST,400,Bad Request,Load tests 2-2,text,true,,353,362,2,2,https://qauto2.forstudy.space/api/auth/signup,90,0,0
1663874825377,2291,Password Reset with Valid Email - POST,200,OK,Load tests 2-3,text,true,,311,436,2,2,https://qauto2.forstudy.space/api/auth/resetPassword,2291,0,0
1663874827684,722,Password reset with invalid email - POST,400,Bad Request,Load tests 2-3,text,true,,355,424,2,2,https://qauto2.forstudy.space/api/auth/resetPassword,722,0,0
1663874827640,766,Sign in - POST,200,OK,Load tests 2-2,text,true,,839,289,2,2,https://qauto2.forstudy.space/api/auth/signin,766,0,0
1663874828408,545,Cars brands - GET,200,OK,Load tests 2-3,text,true,,577,314,2,2,https://qauto2.forstudy.space/api/cars/brands,545,0,0
1663874828408,554,Login with valid login details & Remember me option ON - POST,200,OK,Load tests 2-2,text,true,,668,463,2,2,https://qauto2.forstudy.space/api/auth/signin,554,0,0
1663874828957,63,Cars - GET,200,OK,Load tests 2-3,text,true,,322,320,2,2,https://qauto2.forstudy.space/api/cars?user=$(USER),63,0,0
1663874829021,757,Add car - GET,200,OK,Load tests 2-3,text,true,,507,327,3,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,756,0,0
1663874829779,58,Add car - POST,400,Bad Request,Load tests 2-3,text,true,,361,423,3,3,https://qauto2.forstudy.space/api/cars,58,0,0
1663874829838,55,Add car and incorrect mileage - POST,400,Bad Request,Load tests 2-3,text,true,,355,750,3,3,https://qauto2.forstudy.space/api/expenses?carId=24185,55,0,0
1663874829894,187,Add an expense - POST,400,Bad Request,Load tests 2-3,text,true,,355,577,3,3,https://qauto2.forstudy.space/api/expenses,187,0,0
